,price,lprice,square,rooms,floor,mfloor,station,metro,dmetro,link,add,lat,lon
0,12000000,16.300417207752275,60.0,3,1,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/314948168/,"Чертановская ул., 66К2",55.59693,37.585664
1,11499999,16.257857506376954,37.9,1,16,20,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315677385/,"ул. Газопровод, 15",55.589274,37.61265
2,36000000,17.399029496420383,120.0,4,1,9,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/309425036/,"Старокачаловская ул., 14",55.569708,37.587596
3,13490000,16.41745922818394,48.8,2,10,12,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/316119734/,"ул. Газопровод, 3К1",55.592418,37.604187
4,11900000,16.292048958081757,41.9,1,14,14,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/316733228/,"Старобитцевская ул., 15К1",55.575022,37.586338
5,29900000,17.213369038360916,85.7,3,15,22,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/313182812/,"Варшавское ш., 168",55.582925,37.581164
6,15500000,16.556350581889475,61.8,3,7,12,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/316626043/,"Кировоградская ул., 42К1",55.601299,37.597971
7,48000000,17.686711568872166,169.6,4,5,6,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/312833274/,"Старокачаловская ул., 14",55.569708,37.587596
8,10500000,16.166885815127753,38.4,1,3,17,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/314859180/,"Россошанская ул., 10",55.591955,37.614123
9,27500000,17.1296965626368,81.4,3,2,26,метро Аннино,9 минут пешком,9,https://www.cian.ru/sale/flat/289774737/,"Варшавское ш., 141к7",55.589977,37.601205
10,18000000,16.70588231586044,47.0,1,19,25,метро Аннино,10 минут пешком,10,https://www.cian.ru/sale/flat/316823593/,"Варшавское ш., 141к10",55.589203,37.602714
11,29000000,17.182806387950748,76.2,3,2,14,метро Аннино,20 минут пешком,20,https://www.cian.ru/sale/flat/315611647/,"Россошанская ул., 4к5",55.591065,37.61026
12,10900000,16.204273347199372,39.0,2,10,12,метро Аннино,8 минут пешком,8,https://www.cian.ru/sale/flat/316175483/,"Варшавское ш., 145к5",55.579694,37.601043
13,23300000,16.963963918535928,65.3,2,3,23,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315658566/,"ул. Академика Янгеля, 2",55.596457,37.599822
14,23500000,16.972510979114386,65.3,2,3,22,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315455809/,"ул. Академика Янгеля, 2",55.596457,37.599822
15,9950000,16.113083109134777,38.1,1,3,16,метро Аннино,3 минуты пешком,3,https://www.cian.ru/sale/flat/316546062/,"Варшавское ш., 158К1",55.58554,37.59648
16,21500000,16.883563493097892,78.4,3,14,22,метро Аннино,3 минуты пешком,3,https://www.cian.ru/sale/flat/315631622/,"Варшавское ш., 160к1",55.583551,37.59295
17,15300000,16.543363386362664,67.2,3,7,12,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/314330203/,"ул. Газопровод, 1К6",55.59424,37.603325
18,22698000,16.93778737284322,72.0,3,9,25,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/316189582/,"Чертановская ул., 65",55.596249,37.589033
19,30000000,17.216707939626428,108.6,3,3,9,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/315793242/,"Старокачаловская ул., 6",55.569169,37.588377
20,10730000,16.18855411460688,36.0,1,3,16,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/316620553/,"Кировоградская ул., 44АК2",55.598914,37.593462
21,15800000,16.575520497997196,42.9,1,13,23,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/314895989/,"ул. Академика Янгеля, 2",55.596457,37.599822
22,11200000,16.231424336265324,32.0,1,2,33,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/314383845/,"Дорожная ул., 46к1",55.587026,37.612173
23,10350000,16.15249707767565,38.0,1,17,17,метро Аннино,18 минут пешком,18,https://www.cian.ru/sale/flat/299241007/,"ул. Газопровод, 13к1",55.589717,37.610404
24,12200000,16.316946509703484,50.4,2,5,14,метро Аннино,17 минут пешком,17,https://www.cian.ru/sale/flat/308935869/,"Старобитцевская ул., 7",55.573322,37.590623
25,10200000,16.1378982782545,35.0,1,8,12,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/316369375/,"ул. Газопровод, 3К1",55.592418,37.604187
26,18500000,16.733281290048552,65.0,2,5,17,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/316406349/,"Россошанская ул., 4К1",55.593253,37.611069
27,8000000,15.89495209964411,32.0,1,2,23,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/308951918/,"Варшавское ш., 168",55.582925,37.581164
28,9950000,16.113083109134777,34.7,1,5,16,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/312581759/,"Россошанская ул., 7К1А",55.594891,37.610835
29,16400000,16.612791892794426,47.1,2,19,26,метро Аннино,9 минут пешком,9,https://www.cian.ru/sale/flat/314301952/,"Варшавское ш., 141к7",55.589977,37.601205
30,10500000,16.166885815127753,39.1,1,3,12,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/307502362/,"ул. Академика Янгеля, 14К1",55.599728,37.581586
31,31100000,17.252718377149463,104.5,3,4,9,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/315453465/,"Старокачаловская ул., 8",55.56926,37.589464
32,24000000,16.99356438831222,64.7,3,12,20,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/316080960/,"Дорожная ул., 46к2",55.586573,37.611724
33,43000000,17.576710673657836,182.9,5,9,10,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/315514483/,"Старокачаловская ул., 6",55.569169,37.588377
34,14500000,16.489659207390805,54.0,2,12,17,метро Аннино,13 минут пешком,13,https://www.cian.ru/sale/flat/316393761/,"Варшавское ш., 152К4",55.592307,37.595429
35,11900000,16.292048958081757,48.9,2,4,9,метро Аннино,20 минут пешком,20,https://www.cian.ru/sale/flat/316212044/,"Россошанская ул., 2К2",55.593273,37.607412
36,24000000,16.99356438831222,77.6,3,2,22,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/315828822/,"ул. Академика Янгеля, 3к2",55.593736,37.596183
37,15700000,16.569171270318538,64.0,3,13,16,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/315566635/,"Россошанская ул., 7К1А",55.594891,37.610835
38,13500000,16.41820024340866,42.0,1,19,20,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/313589023/,"Дорожная ул., 46к2",55.586573,37.611724
39,15000000,16.523560759066484,61.8,3,3,12,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/307095806/,"Кировоградская ул., 44К1",55.596885,37.595842
40,10450000,16.162112536375094,33.0,1,4,12,метро Аннино,20 минут пешком,20,https://www.cian.ru/sale/flat/316391513/,"Кировоградская ул., 44К2",55.596874,37.593704
41,11000000,16.213405830762646,39.0,1,6,12,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315878204/,"Россошанский проезд, 8К2",55.596376,37.605014
42,15000000,16.523560759066484,46.0,2,24,25,метро Аннино,8 минут пешком,8,https://www.cian.ru/sale/flat/310661284/,"Варшавское ш., 141к9",55.588949,37.60081
43,16400000,16.612791892794426,63.0,3,12,12,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/310900626/,"ул. Академика Янгеля, 6",55.597154,37.591943
44,18950000,16.75731448949271,62.0,3,9,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/307195601/,"Чертановская ул., 66К1",55.596752,37.586958
45,10999000,16.213314917539254,48.0,2,1,12,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/291272855/,"ул. Газопровод, 3К1",55.592418,37.604187
46,11700000,16.275099399767985,40.8,2,2,12,метро Аннино,4 минуты на транспорте,4,https://www.cian.ru/sale/flat/316064820/,"Россошанская ул., 1К1",55.59749,37.607179
47,12500000,16.34123920227253,35.0,1,19,19,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/316626796/,"Варшавское ш., 170Ек7",55.582416,37.580346
48,14700000,16.503358051748965,46.5,2,2,12,метро Аннино,8 минут пешком,8,https://www.cian.ru/sale/flat/316666990/,"Варшавское ш., 141к11",55.588115,37.601448
49,9350000,16.05088690126487,33.4,1,9,9,метро Аннино,17 минут пешком,17,https://www.cian.ru/sale/flat/312521841/,"ул. Газопровод, 11К1",55.589371,37.608634
50,16800000,16.636889444373487,60.0,3,9,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/289186600/,"Чертановская ул., 66К3",55.597129,37.584398
51,18800000,16.749367427800177,74.2,3,14,16,метро Аннино,3 минуты пешком,3,https://www.cian.ru/sale/flat/308826400/,"Варшавское ш., 143К2",55.582864,37.599094
52,10500000,16.166885815127753,35.0,1,12,12,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/313757139/,"ул. Газопровод, 3К1",55.592418,37.604187
53,12400000,16.333207030575267,60.1,3,1,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/313019655/,"Чертановская ул., 66К2",55.59693,37.585664
54,15300000,16.543363386362664,65.5,3,7,12,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/316618811/,"ул. Газопровод, 1К6",55.59424,37.603325
55,16600000,16.62491325332677,61.7,3,6,12,метро Аннино,20 минут пешком,20,https://www.cian.ru/sale/flat/315005188/,"Кировоградская ул., 44К2",55.596874,37.593704
56,17500000,16.67771143889374,80.5,3,13,14,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/313616920/,"Старобитцевская ул., 15К1",55.575022,37.586338
57,19500000,16.785925023533974,61.3,2,5,20,метро Аннино,4 минуты пешком,4,https://www.cian.ru/sale/flat/315784626/,"Варшавское ш., 160к2",55.5838,37.591288
58,38000000,17.45309671769066,82.0,3,21,22,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/316306593/,"Варшавское ш., 168",55.582925,37.581164
59,12000000,16.300417207752275,43.6,2,2,9,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/311969191/,"Россошанская ул., 3К2",55.597943,37.608859
60,9500000,16.06680235657077,38.0,2,2,23,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/308952282/,"Варшавское ш., 168",55.582925,37.581164
61,23000000,16.951004773893423,62.0,2,13,18,метро Аннино,4 минуты пешком,4,https://www.cian.ru/sale/flat/316010917/,"Варшавское ш., 160к2",55.5838,37.591288
62,15499000,16.556286063679188,42.2,1,14,24,метро Аннино,11 минут пешком,11,https://www.cian.ru/sale/flat/314810061/,"Варшавское ш., 139",55.591976,37.601987
63,21500000,16.883563493097892,74.5,3,5,17,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/311867798/,"ул. Академика Янгеля, 3",55.594819,37.595321
64,19900000,16.80623028969472,55.2,2,5,25,метро Аннино,5 минут пешком,5,https://www.cian.ru/sale/flat/315655116/,"Варшавское ш., 141Ак1",55.585321,37.601178
65,24898700,17.030326151236665,92.0,4,3,14,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315871816/,"Старобитцевская ул., 15К3",55.575414,37.583239
66,15800000,16.575520497997196,46.3,1,10,25,метро Аннино,10 минут пешком,10,https://www.cian.ru/sale/flat/315310307/,"Варшавское ш., 141к10",55.589203,37.602714
67,14500000,16.489659207390805,52.7,2,4,16,метро Аннино,8 минут пешком,8,https://www.cian.ru/sale/flat/315352355/,"Варшавское ш., 147К2",55.579124,37.598771
68,25990000,17.073222406617674,72.7,3,15,16,метро Аннино,6 минут пешком,6,https://www.cian.ru/sale/flat/313290252/,"Варшавское ш., 154К2",55.587453,37.597163
69,21000000,16.860032995687696,76.4,3,15,17,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/314970470/,"Россошанская ул., 10",55.591955,37.614123
70,12400000,16.333207030575267,38.7,1,12,12,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/309034082/,"Россошанский проезд, 8К1",55.597108,37.604879
71,13000000,16.38045991542581,40.8,2,7,12,метро Аннино,4 минуты на транспорте,4,https://www.cian.ru/sale/flat/316371370/,"Россошанская ул., 1К1",55.59749,37.607179
72,23300000,16.963963918535928,65.3,2,3,22,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/316632396/,"ул. Академика Янгеля, 2",55.596457,37.599822
73,10550000,16.17163641788635,45.0,2,1,9,метро Аннино,20 минут пешком,20,https://www.cian.ru/sale/flat/313323753/,"Россошанская ул., 2К1",55.594016,37.607898
74,13800000,16.440179150127435,42.6,1,3,26,метро Аннино,12 минут пешком,12,https://www.cian.ru/sale/flat/308646666/,"Варшавское ш., 170Ек4",55.581307,37.582457
75,36900000,17.423722109010754,135.9,4,4,9,метро Аннино,7 минут на транспорте,7,https://www.cian.ru/sale/flat/283008581/,"Старокачаловская ул., 16",55.570075,37.587883
76,17800000,16.694709015262312,57.0,2,26,26,метро Аннино,17 минут пешком,17,https://www.cian.ru/sale/flat/312208358/,"Варшавское ш., 170Ек11",55.582416,37.57881
77,45000000,17.622173047734595,105.2,4,10,22,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/309815449/,"Варшавское ш., 168",55.582925,37.581164
78,32000000,17.281246460764002,87.8,3,15,22,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/312688100/,"Варшавское ш., 168",55.582925,37.581164
79,23200000,16.95966283663654,55.3,2,15,22,метро Аннино,12 минут пешком,12,https://www.cian.ru/sale/flat/316236224/,"Варшавское ш., 170Ек4",55.581307,37.582457
80,9500000,16.06680235657077,37.5,1,1,17,метро Аннино,18 минут пешком,18,https://www.cian.ru/sale/flat/314926950/,"ул. Газопровод, 13к1",55.589717,37.610404
81,21980000,16.90564350693975,73.0,3,16,16,метро Аннино,6 минут пешком,6,https://www.cian.ru/sale/flat/315603619/,"Варшавское ш., 145К2",55.580065,37.598169
82,12500000,16.34123920227253,34.0,1,10,25,метро Аннино,9 минут пешком,9,https://www.cian.ru/sale/flat/314179061/,"Варшавское ш., 141к8",55.589346,37.601277
83,19950000,16.808739701300148,55.7,2,17,25,метро Аннино,6 минут пешком,6,https://www.cian.ru/sale/flat/315006892/,"Варшавское ш., 141Ак3",55.58465,37.603496
84,23500000,16.972510979114386,65.3,2,3,22,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/315381855/,"ул. Академика Янгеля, 2",55.596457,37.599822
85,18500000,16.733281290048552,74.4,3,13,16,метро Аннино,6 минут пешком,6,https://www.cian.ru/sale/flat/316301261/,"Варшавское ш., 145К2",55.580065,37.598169
86,11800000,16.283610089435893,39.0,1,7,17,метро Аннино,18 минут пешком,18,https://www.cian.ru/sale/flat/309022887/,"ул. Газопровод, 13к1",55.589717,37.610404
87,11950000,16.296241836341792,40.0,1,2,17,метро Аннино,19 минут пешком,19,https://www.cian.ru/sale/flat/316242727/,"ул. Газопровод, 15",55.589274,37.61265
88,12300000,16.325109820342647,41.0,2,2,12,метро Аннино,4 минуты на транспорте,4,https://www.cian.ru/sale/flat/291833253/,"Россошанская ул., 1К1",55.59749,37.607179
89,12350000,16.32916662103826,41.7,2,1,12,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/306149140/,"Россошанская ул., 13К1",55.59632,37.614509
90,12490000,16.34043888210176,44.2,2,5,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/316018344/,"Чертановская ул., 66К1",55.596752,37.586958
91,12500000,16.34123920227253,45.0,2,5,12,метро Аннино,5 минут на транспорте,5,https://www.cian.ru/sale/flat/314220659/,"ул. Академика Янгеля, 8",55.597409,37.590174
92,12700000,16.35711255142882,47.0,2,10,12,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/314868715/,"Кировоградская ул., 42К1",55.601299,37.597971
93,13500000,16.41820024340866,34.7,1,11,26,метро Аннино,17 минут пешком,17,https://www.cian.ru/sale/flat/314138813/,"Варшавское ш., 170Ек11",55.582416,37.57881
94,13400000,16.41076526492114,39.4,1,14,19,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/314551095/,"Варшавское ш., 170Ек10",55.581983,37.579035
95,15300000,16.543363386362664,65.5,3,7,12,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/314836411/,"ул. Газопровод, 1К6",55.59424,37.603325
96,15500000,16.556350581889475,39.0,2,2,23,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/316217578/,"Варшавское ш., 168",55.582925,37.581164
97,22000000,16.90655301132259,74.2,3,7,16,метро Аннино,8 минут пешком,8,https://www.cian.ru/sale/flat/313880146/,"Варшавское ш., 149к1",55.578727,37.599229
98,35900000,17.396247853458508,92.0,3,17,21,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/314968772/,"ул. Академика Янгеля, 1к1",55.594056,37.598115
99,32000000,17.281246460764002,81.2,4,6,25,метро Аннино,9 минут пешком,9,https://www.cian.ru/sale/flat/314561692/,"Варшавское ш., 141к7",55.589977,37.601205
100,35900000,17.396247853458508,89.4,3,17,21,метро Аннино,15 минут пешком,15,https://www.cian.ru/sale/flat/316641692/,"ул. Академика Янгеля, 1к1",55.594056,37.598115
101,11600000,16.266515656076592,46.9,2,7,9,метро Аннино,6 минут на транспорте,6,https://www.cian.ru/sale/flat/310669416/,"Кировоградская ул., 42К1",55.601299,37.597971
102,18900000,16.75467248002987,45.7,2,20,23,метро Аннино,14 минут пешком,14,https://www.cian.ru/sale/flat/313427353/,"Варшавское ш., 168",55.582925,37.581164
103,15290000,16.542709577905246,42.3,1,13,16,метро Аннино,9 минут пешком,9,https://www.cian.ru/sale/flat/308859725/,"Варшавское ш., 152к11",55.590144,37.597297
104,15300000,16.543363386362664,67.2,3,7,12,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/310468203/,"ул. Газопровод, 1К6",55.59424,37.603325
105,11300000,16.240313283682568,39.0,1,11,14,метро Аннино,16 минут пешком,16,https://www.cian.ru/sale/flat/312824375/,"Старобитцевская ул., 15К1",55.575022,37.586338
